"","LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","default.payment.next.month"
"5",10.8197782844103,1,2,1,57,0,0,0,0,0,0,9.06160831817578,8.64312074801403,10.4867082537175,9.94946423877615,9.8599013243732,9.85911760480019,7.60140233458373,10.510041450511,9.21044036697652,9.10509096125709,6.5366915975913,6.52209279817015,0
"32",10.8197782844103,1,2,2,33,1,0,0,0,0,0,10.3261047194619,10.2961713262796,10.0034686248994,10.0316608662591,10.052683118898,10.072428317836,7.44949800538285,7.31388683163346,6.90875477931522,6.90875477931522,6.90875477931522,6.57507584059962,1
"38",11.0020998412042,2,2,2,22,0,0,0,0,0,0,9.61946544091583,9.19085169539232,9.31190368738562,8.70400465348304,0,9.83419106353347,7.31388683163346,7.32580750259577,7.6226639513236,0,10.7720995024268,6.42648845745769,0
"44",11.8493977015914,2,2,1,37,0,0,0,0,0,0,10.9938156216165,11.0275238935444,11.0497147118121,11.0710193766688,11.1136412159371,11.1534322677695,8.00670084544037,8.00670084544037,8.00670084544037,8.29429960885724,8.29429960885724,8.00670084544037,0
"49",9.90348755253613,1,1,2,24,0,0,0,0,0,0,9.76698030788146,9.82444434519567,9.8769895612299,9.8967650067753,9.92725290608639,9.90668244343265,7.18462915271731,7.18235211188526,6.55819780281227,6.83410873881384,6.81673588059497,6.97541392745595,0
"59",12.8992198260901,2,2,1,29,0,0,0,0,0,0,12.8995572691498,12.8963607428039,12.9096799279781,12.794414711724,12.784529814599,12.8051563688042,9.74102744483773,9.61780348274702,10.3089859934221,9.39274525863144,9.39274525863144,10.043292972227,0
"66",9.21034037197618,1,2,1,56,1,1,1,0,0,0,7.64873978895624,8.34141021146186,8.28878581042693,8.30967689598773,8.34212526333359,8.37262974022488,7.74109909003537,0,5.01727983681492,5.30330490805908,5.30330490805908,5.08140436498446,1
"70",12.6760762747759,1,2,2,29,1,1,1,1,1,1,10.9728083365688,10.9894704248041,11.0051784308138,10.9788823900281,11.0398451074465,11.0592202913606,7.82444593087762,7.82444593087762,0,8.47657950853094,7.78364059622125,7.37838371299671,1
"72",12.5776362019627,2,1,2,37,1,0,0,0,0,0,0,0,8.05706068196577,0,7.76641689801966,0,0,8.05706068196577,0,7.76641689801966,0,0,0
"75",10.8197782844103,1,3,2,25,0,0,0,0,0,0,10.6652041816188,10.5247627208583,10.4937156790882,9.17336513585129,9.16858043772795,9.21343557688349,7.4730690880322,7.48436864328613,5.77144112313002,6.21660610108486,6.90875477931522,6.90875477931522,0
"76",12.6115377536383,2,1,1,45,0,0,0,0,0,0,5.67675380226828,5.67675380226828,5.67675380226828,5.67675380226828,5.67675380226828,5.67675380226828,5.67675380226828,5.67675380226828,5.67675380226828,5.67675380226828,5.67675380226828,5.67675380226828,0
"106",12.7656884334656,1,1,2,52,0,0,0,0,0,0,6.57088296233958,7.72885582385254,6.58340922215876,6.76619171466035,7.04838640872188,8.56864647300515,7.72885582385254,6.58340922215876,6.76619171466035,7.04838640872188,8.56864647300515,8.51959031601596,0
"108",12.7938593104323,1,2,1,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123",9.90348755253613,1,1,2,27,0,0,0,0,0,0,9.85828095969805,9.85024499114041,9.86780856007911,9.87194528452625,9.88928720313499,9.65701140089547,7.24779258176785,7.03085747611612,6.39859493453521,6.75925527066369,5.74939298590825,0,0
"140",12.1007121298723,1,2,2,28,0,0,0,0,0,0,7.5137092478397,0,6.72503364216684,5.80814248998044,6.0330862217988,6.0330862217988,0,6.0330862217988,5.80814248998044,6.21660610108486,8.16080392095467,6.72503364216684,0
"142",12.0435537160324,1,2,2,29,0,0,0,0,0,0,9.40590715552016,9.21044036697652,9.21044036697652,9.21044036697652,9.20873909060921,9.67073548694281,9.21044036697652,9.21044036697652,9.21044036697652,9.20873909060921,9.67180767019963,9.21044036697652,0
"144",10.8197782844103,1,1,2,28,0,0,0,0,0,2,8.51719319141624,8.68507770041242,8.89781900951076,9.12652388588307,9.27096499379262,9.22414465295258,6.90875477931522,7.31388683163346,7.60140233458373,7.36770857237437,7.00397413672268,0,0
"147",11.289781913656,2,2,1,23,1,1,2,1,0,0,9.1235835080499,9.26131861674081,9.23073106162392,9.20018902091981,9.22266412166501,9.39557435021717,7.40913644392013,0,0,5.94017125272043,7.64587582518481,0.693147180559945,0
"148",12.4684369099977,2,1,1,60,1,0,0,0,0,0,0,0,9.97119292889014,0,6.87729607149743,6.76849321164863,0,10.0213150316493,0,6.87729607149743,6.90875477931522,0,0
"151",12.7656884334656,1,1,2,41,1,0,0,0,0,0,5.34233425196481,7.97487690055888,6.90875477931522,6.44730586254121,0,0,7.97487690055888,6.90875477931522,6.44730586254121,0,0,0,0
"165",12.8212582846204,1,1,2,50,0,0,0,0,0,0,8.71505995954565,9.62450089845157,9.01249900352419,9.64205785122841,8.47491179915963,9.50703173858555,9.64108328726862,9.01249900352419,9.64303146633794,8.47491179915963,9.50703173858555,8.45531778769815,0
"167",11.4075649493124,2,2,1,35,0,0,0,0,0,1,11.1859896121518,11.2098589904747,11.2322454872018,11.255682066459,11.360391810386,11.3883934561425,8.16080392095467,8.16080392095467,8.20330402679528,9.21044036697652,8.29429960885724,0,0
"173",12.7938593104323,1,1,2,29,1,0,0,0,0,0,0,0,4.35670882668959,0,0,0,0,4.35670882668959,0,0,0,0,0
"183",9.90348755253613,1,2,2,25,0,0,0,0,0,0,9.27265767804104,9.36546200884348,9.47815131478555,9.41580863161038,7.38770923908104,7.39079852173568,7.09090982207998,7.37400185935016,6.40025744530882,4.91265488573605,7.50933526601659,0,0
"188",9.90348755253613,2,2,2,31,1,2,2,2,2,1,9.98525185433877,9.95645943730223,9.97403920848707,9.94443753886508,9.91442749257446,9.92759462787936,0,6.90875477931522,0,0,6.63463335786169,0,0
"190",11.0020998412042,2,1,2,27,1,0,0,0,1,0,9.88461049676644,9.92073790594266,9.98368409453041,10.043510330456,10.0212705881925,10.0377561733412,7.20266119652324,7.41758040241454,7.60140233458373,0,6.80350525760834,6.74170069465205,1
"195",11.9183905730784,2,2,1,34,0,0,0,0,0,0,0,0,0,4.76217393479776,0,7.31388683163346,0,0,4.76217393479776,0,7.31388683163346,0,0
"196",9.90348755253613,2,1,2,22,0,0,0,0,0,0,9.82844067821322,9.87544809550488,9.85566192305352,9.02797881438221,9.84527564278771,9.86516243821446,7.31388683163346,6.94022246911964,6.29526600143965,9.90353755128617,6.5424719605068,6.90875477931522,0
"202",11.6952470217642,1,2,2,26,0,0,0,0,0,0,11.5835237138158,11.6134854766244,11.6416440445678,11.661354090741,11.6879874010349,11.7128904569368,8.5173931714189,8.5173931714189,8.33158624363075,8.5173931714189,8.5173931714189,8.5173931714189,0
"204",9.90348755253613,1,3,1,43,0,0,0,0,0,0,5.42934562895444,9.92093446613985,9.9153173042897,9.86993076900728,9.87565376160669,9.86982735104349,10.015028927269,7.17472430983638,7.13807303404435,7.28619171470238,8.14844566624324,7.43897159239586,0
"208",12.7068479334427,2,1,1,50,0,0,0,0,0,0,9.09076823683534,8.37516869138682,7.95682712209011,7.43307534889858,0,7.44424864949671,8.37701116081637,7.95682712209011,7.44014668066269,0,7.44424864949671,5.55682806169954,0
"211",10.5966347330961,2,3,1,43,0,0,0,0,0,0,10.5521079677126,10.5688009421666,10.5480745424807,10.4970353678733,10.4084661155102,10.35265051591,7.43897159239586,7.31654817718298,7.09090982207998,7.31388683163346,7.31388683163346,6.90875477931522,0
"214",10.3089526606443,1,3,1,42,0,0,0,0,0,1,5.96870755998537,5.96870755998537,5.96870755998537,5.48479693349065,7.18614430452233,6.66057514983969,5.96870755998537,5.96870755998537,5.48479693349065,7.29369772060144,0,0,0
"226",10.8197782844103,1,2,2,23,1,0,0,0,0,0,10.8149466307481,10.788432085727,10.6946004746821,9.96401805227616,9.90683195378652,9.84474553251236,7.78405700263993,7.72090525193678,7.60339933974067,6.55819780281227,6.56244409369372,6.91274282049318,1
"229",9.90348755253613,1,2,2,23,1,1,0,0,1,0,9.91521847541183,9.74876170733297,9.73252127978031,9.73364777324423,9.50710606316101,9.22078562983772,0,7.09090982207998,6.90875477931522,0,6.90875477931522,9.21044036697652,1
"234",11.9183905730784,2,2,2,27,0,0,0,0,0,0,11.7551105697236,11.6086991736921,10.8502686914083,10.7006568535024,10.5159939299324,10.2920777434194,8.41205487329293,7.46508273639955,7.35691824235602,7.09754885061479,6.98286275146894,7.83597458172157,0
"236",12.3883942023241,2,3,1,50,0,0,0,0,0,0,12.3639563489465,12.3530692242645,12.2767314618934,12.24357553792,12.2566516848983,12.2769736952864,9.22197245620589,9.12161844191538,8.98832118832368,8.98732181285012,8.9884460400624,8.95092176479726,1
"250",11.8493977015914,2,2,2,26,0,0,0,0,0,0,11.5283262615463,11.5640652475754,11.5596372803922,11.5649010265606,11.5871048631445,11.5789847042296,8.58802437217683,8.53464010501996,8.19035440376326,8.26744895830485,8.23906533176927,8.10319175228579,1
"258",13.1421660047005,2,1,2,29,0,0,0,0,0,0,11.2687114830367,11.5070582866922,11.5869841501951,11.5499996452,11.3767162043412,10.5116213587691,10.5969096952905,9.9082263068833,8.5173931714189,8.51759311143756,10.1411649736274,11.0821579333748,0
"266",10.5966347330961,2,1,2,48,0,0,0,0,0,0,10.4594394939182,10.4472642764418,10.4233224704597,10.4512331679011,10.4563088817541,10.4821774111182,7.37838371299671,7.37838371299671,7.31388683163346,7.31388683163346,7.31388683163346,7.31388683163346,0
"268",11.5129254649702,1,3,2,32,0,0,0,0,0,0,11.156307662256,10.3592020770474,9.95108653133541,9.88908432222538,9.89590890701258,9.80515781846292,7.61874237767041,7.60339933974067,6.42486902390539,7.60489448081162,6.9177056098353,7.60887062919126,0
"285",12.9945300058944,2,2,1,46,0,0,0,0,0,0,12.1042724510671,12.1093304408675,11.9180238391731,11.636345913844,11.5643882449943,11.4888684003764,9.06079573469617,8.84043543926657,8.22362717580548,8.24301946898925,8.29454951514368,7.90174751852014,0
"298",11.5129254649702,1,2,2,37,0,0,0,0,0,0,11.5049940946439,11.4949956828042,11.1152201714735,11.1113577521408,11.1094134483366,11.0746375334946,8.15794350710504,7.75491027202143,7.74716496652033,7.76895604453833,7.82324569068552,7.743269700829,0
"300",10.8197782844103,2,3,1,40,0,0,0,0,0,0,10.8186176110895,10.8437682111504,9.40137386937216,9.46490506796514,9.52427481557203,9.57907233702813,7.78364059622125,7.09589322109753,6.90875477931522,6.90875477931522,6.90875477931522,6.90875477931522,0
"301",9.90348755253613,2,1,2,25,0,0,1,0,0,0,9.39007525287337,9.58637666939354,10.2335464101945,9.66934624701238,9.66535725891359,9.4343635363174,7.93773177526011,0,8.29429960885724,7.43897159239586,6.90875477931522,7.60140233458373,1
"308",12.8992198260901,2,2,1,38,0,0,0,0,0,0,8.21554741194707,8.18896686364888,7.2115567333138,8.57979233317276,8.53777982502463,7.63916117165917,6.90875477931522,7.2115567333138,8.57979233317276,1.94591014905531,7.77779262633883,9.11449004631935,0
"332",9.90348755253613,1,1,2,27,0,0,0,0,0,0,9.93168620689481,9.85691991671979,9.88629052770761,9.87580798342939,9.85791470724137,9.84527564278771,7.18841273649695,7.37838371299671,6.72262979485545,6.55250788703459,6.51471269087253,5.93224518744801,0
"337",11.6952470217642,2,1,2,34,0,0,0,0,0,0,6.78332520060396,8.78446845409036,8.75052466911794,7.00397413672268,7.19368581839511,6.72262979485545,8.8394216076206,8.52476445691256,7.00397413672268,7.19368581839511,8.24301946898925,7.61972421378267,0
"343",11.982929094216,2,1,2,29,0,0,0,0,0,0,8.03851202097681,0,0,7.74240202181578,8.72955886955857,7.41155628781116,0,0,8.5173931714189,8.5173931714189,7.31388683163346,9.47278155656217,0
"348",11.4075649493124,1,1,2,26,0,0,0,0,0,0,10.5746191590384,9.92691106747972,7.57095858316901,7.57095858316901,0,10.0476744728486,7.34083555412327,8.34307787116938,0,0,10.0476744728486,8.00670084544037,0
"361",11.6082356447746,1,1,1,40,1,0,0,0,0,0,0,0,7.63385355968177,7.60140233458373,5.37989735354046,5.37989735354046,0,7.63385355968177,0,5.37989735354046,5.37989735354046,4.20469261939097,1
"363",12.7068479334427,2,2,1,56,1,0,0,0,0,0,0,7.32712329225929,7.30586003268401,0,8.28551330907974,9.06843112579349,7.33302301438648,7.3185395485679,0,8.28551330907974,9.06843112579349,5.95324333428778,0
"368",12.1007121298723,1,2,1,36,1,1,0,0,0,0,11.3330688676659,0,0,0,0,0,0,0,0,0,0,0,1
"369",11.982929094216,1,1,2,30,0,0,0,0,0,0,4.60517018598809,7.99900721324395,9.62158872484008,9.05707263557296,9.47493292120293,9.98566643849377,7.99900721324395,9.62158872484008,9.11866358340428,9.47493292120293,10.2993399394612,10.8197982842103,0
"379",10.8197782844103,2,2,1,37,1,1,1,0,0,0,7.54697411751653,8.07121853996986,8.12622252945853,8.17751582384608,7.57507169950756,7.78986855905471,7.31388683163346,5.99396142730657,5.30330490805908,6.21660610108486,6.21660610108486,5.99396142730657,1
"397",12.3883942023241,1,1,2,29,0,0,0,0,0,0,11.9599355062155,11.792683726789,11.5046412453825,11.087864608165,10.2680612192682,12.1276948012022,8.56293108309009,8.09864284375942,7.63675211243578,8.01268092970684,12.1276948012022,8.71620797115185,0
"399",11.9183905730784,1,1,2,41,0,0,0,0,0,1,7.28961052145117,7.6425241342329,5.95324333428778,0,7.76004068088038,6.71295620067707,7.64587582518481,5.95324333428778,0,7.76004068088038,0,6.15909538849193,1
"409",12.3458345879053,2,1,1,32,1,0,0,0,0,0,0,0,7.94093976232779,8.43294163896865,6.67582322163485,8.13300021858361,0,7.94093976232779,8.43533216493592,6.67582322163485,8.13300021858361,0,0
"410",12.3458345879053,2,2,2,27,1,1,0,0,0,0,9.52288577415265,9.44525437888931,9.48311183169221,9.26832622117484,9.12902185079859,8.53089883847235,0,6.97073007814353,6.04973345523196,5.74939298590825,6.90875477931522,8.44290058683438,1
"412",10.8197782844103,2,3,1,35,0,0,0,0,0,0,10.0213150316493,8.5173931714189,0,0,0,0,8.5173931714189,0,0,0,0,6.46302945692067,0
"424",12.0435537160324,2,1,2,31,0,0,0,0,0,0,5.29831736654804,5.29831736654804,5.29831736654804,5.98896141688986,5.29831736654804,5.29831736654804,5.29831736654804,5.29831736654804,5.98896141688986,0,5.29831736654804,5.98896141688986,1
"428",12.8739020181058,2,1,2,27,0,0,0,0,0,0,12.627634175025,12.6115344202994,12.6129600749929,12.5874841035346,12.5875387337902,12.5490486864901,9.47331983178759,9.26983494376182,9.21453157659465,9.30574145673943,9.26036786557583,8.8538082749772,1
