"","LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","default.payment.next.month"
"8",11.5129254649702,2,2,2,23,0,0,0,0,0,0,9.38235903577424,5.9427993751267,6.40025744530882,5.40267738187228,0,6.34212141872115,5.9427993751267,6.40025744530882,0,6.36647044773144,7.4312996751559,7.34148385236316,0
"12",12.4684369099977,2,1,2,51,0,0,0,0,0,1,9.41426032832263,9.98373024021233,9.20703491496746,9.04993685048316,10.0118036960196,9.52288577415265,9.99053642882265,9.20703491496746,9.05765528431053,10.0124316395253,0,8.20001364817543,0
"16",10.8197782844103,2,3,3,23,1,1,0,0,0,0,10.8320032540329,10.2810331806462,10.2441296546003,10.2671579709872,10.2932297001791,10.3159944754333,0,7.31388683163346,7.00397413672268,7.09090982207998,7.1708884785125,7.00397413672268,0
"18",12.6760762747759,1,1,1,49,0,0,0,0,0,0,12.4422785121303,12.4152673626207,12.1790302744183,11.157321376033,8.67539280608978,12.1838270365829,9.2456109860581,9.21044036697652,11.2377120019898,9.90353755128617,12.1838270365829,10.8197982842103,0
"23",11.1562505210315,2,2,2,26,1,0,0,1,1,1,10.6234713870496,10.6559879587956,10.7148843265641,10.6921039911559,10.7559008780215,10.7366792442406,7.60489448081162,8.18395571730495,0,8.1892445257359,0,7.50714107972761,1
"26",10.8197782844103,1,3,2,23,0,0,0,0,0,0,10.7710291194004,10.6409147417876,10.4919406619814,10.2739470514455,10.3032698775088,10.310518101369,7.58781721999343,7.26332961747684,6.90975328164481,7.26752542782817,6.96885037834195,6.90575327631146,0
"36",11.982929094216,1,1,2,30,0,0,0,0,0,0,10.317780249247,0,0,0,0,0,4.88280192258637,5.98393628068719,5.98393628068719,6.33859407820318,6.67582322163485,0,0
"46",12.2548628096996,1,1,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"48",12.8479265317026,1,2,2,32,0,0,0,0,0,0,10.0169055195717,9.9777133748881,9.62476522145582,10.3740847555821,9.38008314656328,9.38210641483062,9.9777133748881,9.62502947461188,10.1136674374585,9.38025190869346,9.38227483588365,9.01821087419114,0
"51",11.5129254649702,2,3,3,43,0,0,0,0,0,0,11.0277675879528,10.8427914387193,10.6879597097894,10.5870893202525,10.4846691183861,10.4120806861494,7.60140233458373,7.38212436573751,7.31388683163346,7.60140233458373,7.31388683163346,6.90875477931522,0
"53",12.1007121298723,2,1,2,25,1,1,0,0,0,0,10.6311086209561,10.6392870515511,10.6633349785231,10.6807690586729,10.7014676095768,10.7215037151419,7.1708884785125,7.60638738977265,7.47477218239787,7.47477218239787,7.49052940206071,7.39203156751459,0
"65",12.2060726455302,1,1,1,57,0,0,0,0,1,1,11.9350510139715,11.9100357686956,11.8781031578674,9.00883599576545,9.01176747459618,8.97702021421041,0,0,9.0146903849709,5.70711026474888,0,6.90875477931522,1
"67",12.2548628096996,2,1,2,30,1,0,0,0,0,0,5.70711026474888,5.70711026474888,7.05617528410041,7.73236922228439,5.70711026474888,8.35490952835879,5.70711026474888,7.05617528410041,7.73236922228439,5.70711026474888,8.35490952835879,6.8134445995109,0
"68",11.7752897294377,2,3,2,29,1,0,0,0,1,0,0,0,0,9.24106354461902,9.22641055215368,8.89836560695536,0,0,9.91155492361389,0,8.89836560695536,9.53964411911878,0
"73",12.7367008965923,1,1,2,32,0,0,0,0,0,0,8.02256894698825,8.62173337069016,10.0578382123661,8.36450810375059,11.2917050632179,10.1589433933176,8.65067458279072,10.062796335021,8.36985260351753,11.2966706318594,10.163926888594,7.60936653795421,0
"81",11.0020998412042,1,3,2,30,0,0,0,0,0,0,10.1782743370022,10.2209225831373,10.2438450887392,9.99852496787088,9.89847501071258,9.89202207442685,7.36327958696304,7.10167597161944,6.47543271670409,6.64509096950564,7.03966034986208,0,1
"82",12.8992198260901,2,2,1,44,0,0,1,0,0,0,11.7874919022746,11.8426679647677,11.750524037254,11.5562818452201,11.5616299111803,11.4516775239307,9.278092474027,1.38629436111989,8.02322468471667,8.00670084544037,8.07121853996986,7.93773177526011,0
"84",11.982929094216,1,2,2,33,0,0,0,0,0,0,11.7755127814828,11.5881164219127,11.1835182124711,11.6819844615306,11.681891566717,11.6987326067156,8.38958706681109,8.17413934342947,11.2897944135779,8.41205487329293,8.47657950853094,8.41205487329293,0
