"","LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","default.payment.next.month"
"5",50000,1,2,1,57,0,0,0,0,0,0,8617,5670,35835,20940,19146,19131,2000,36681,10000,9000,689,679,0
"32",50000,1,2,2,33,1,0,0,0,0,0,30518,29618,22102,22734,23217,23680,1718,1500,1000,1000,1000,716,1
"38",60000,2,2,2,22,0,0,0,0,0,0,15054,9806,11068,6026,0,18660,1500,1518,2043,0,47671,617,0
"44",140000,2,2,1,37,0,0,0,0,0,0,59504,61544,62925,64280,67079,69802,3000,3000,3000,4000,4000,3000,0
"49",20000,1,1,2,24,0,0,0,0,0,0,17447,18479,19476,19865,20480,20063,1318,1315,704,928,912,1069,0
"59",4e+05,2,2,1,29,0,0,0,0,0,0,400134,398857,404205,360199,356656,364089,17000,15029,30000,12000,12000,23000,0
"66",10000,1,2,1,56,1,1,1,0,0,0,2097,4193,3978,4062,4196,4326,2300,0,150,200,200,160,1
"70",320000,1,2,2,29,1,1,1,1,1,1,58267,59246,60184,58622,62307,63526,2500,2500,0,4800,2400,1600,1
"72",290000,2,1,2,37,1,0,0,0,0,0,0,0,3155,0,2359,0,0,3155,0,2359,0,0,0
"75",50000,1,3,2,25,0,0,0,0,0,0,42838,37225,36087,9636,9590,10030,1759,1779,320,500,1000,1000,0
"76",3e+05,2,1,1,45,0,0,0,0,0,0,291,291,291,291,291,291,291,291,291,291,291,291,0
"106",350000,1,1,2,52,0,0,0,0,0,0,713,2272,722,867,1150,5263,2272,722,867,1150,5263,5011,0
"108",360000,1,2,1,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123",20000,1,1,2,27,0,0,0,0,0,0,19115,18962,19298,19378,19717,15630,1404,1130,600,861,313,0,0
"140",180000,1,2,2,28,0,0,0,0,0,0,1832,0,832,332,416,416,0,416,332,500,3500,832,0
"142",170000,1,2,2,29,0,0,0,0,0,0,12159,10000,10000,10000,9983,15846,10000,10000,10000,9983,15863,10000,0
"144",50000,1,1,2,28,0,0,0,0,0,2,4999,5913,7315,9195,10624,10138,1000,1500,2000,1583,1100,0,0
"147",80000,2,2,1,23,1,1,2,1,0,0,9168,10522,10205,9898,10123,12034,1650,0,0,379,2091,1,0
"148",260000,2,1,1,60,1,0,0,0,0,0,0,0,21400,0,969,869,0,22500,0,969,1000,0,0
"151",350000,1,1,2,41,1,0,0,0,0,0,208,2906,1000,630,0,0,2906,1000,630,0,0,0,0
"165",370000,1,1,2,50,0,0,0,0,0,0,6093,15130,8204,15398,4792,13453,15383,8204,15413,4792,13453,4699,0
"167",90000,2,2,1,35,0,0,0,0,0,1,72112,73854,75526,77317,85852,88290,3500,3500,3652,10000,4000,0,0
"173",360000,1,1,2,29,1,0,0,0,0,0,0,0,77,0,0,0,0,77,0,0,0,0,0
"183",20000,1,2,2,25,0,0,0,0,0,0,10642,11677,13070,12280,1615,1620,1200,1593,601,135,1824,0,0
"188",20000,2,2,2,31,1,2,2,2,2,1,21703,21087,21461,20835,20219,20487,0,1000,0,0,760,0,0
"190",60000,2,1,2,27,1,0,0,0,1,0,19625,20347,21669,23005,22499,22873,1342,1664,2000,0,900,846,1
"195",150000,2,2,1,34,0,0,0,0,0,0,0,0,0,116,0,1500,0,0,116,0,1500,0,0
"196",20000,2,1,2,22,0,0,0,0,0,0,18553,19446,19065,8332,18868,19247,1500,1032,541,20000,693,1000,0
"202",120000,1,2,2,26,0,0,0,0,0,0,107314,110578,113736,116000,119131,122135,5000,5000,4152,5000,5000,5000,0
"204",20000,1,3,1,43,0,0,0,0,0,0,227,20351,20237,19339,19450,19337,22359,1305,1258,1459,3457,1700,0
"208",330000,2,1,1,50,0,0,0,0,0,0,8872,4337,2854,1690,0,1709,4345,2854,1702,0,1709,258,0
"211",40000,2,3,1,43,0,0,0,0,0,0,38257,38901,38103,36207,33138,31339,1700,1504,1200,1500,1500,1000,0
"214",30000,1,3,1,42,0,0,0,0,0,1,390,390,390,240,1320,780,390,390,240,1470,0,0,0
"226",50000,1,2,2,23,1,0,0,0,0,0,49758,48456,44116,21247,20066,18858,2401,2254,2004,704,707,1004,1
"229",20000,1,2,2,23,1,1,0,0,1,0,20235,17132,16856,16875,13454,10104,0,1200,1000,0,1000,10000,1
"234",150000,2,2,2,27,0,0,0,0,0,0,127402,110050,51547,44384,36900,29497,4500,1745,1566,1208,1077,2529,0
"236",240000,2,3,1,50,0,0,0,0,0,0,234205,231669,214642,207642,210375,214694,10116,9150,8008,8000,8009,7714,1
"250",140000,2,2,2,26,0,0,0,0,0,0,101551,105246,104781,105334,107699,106828,5366,5087,3605,3894,3785,3304,1
"258",510000,2,1,2,29,0,0,0,0,0,0,78331,99414,107686,103776,87265,36739,40010,20094,5000,5001,25365,65000,0
"266",40000,2,1,2,48,0,0,0,0,0,0,34871,34449,33634,34586,34762,35673,1600,1600,1500,1500,1500,1500,0
"268",1e+05,1,3,2,32,0,0,0,0,0,0,70003,31545,20974,19713,19848,18126,2035,2004,616,2007,1009,2015,0
"285",440000,2,2,1,46,0,0,0,0,0,0,180641,181557,149944,113135,105280,97622,8610,6907,3727,3800,4001,2701,0
"298",1e+05,1,2,2,37,0,0,0,0,0,0,99209,98222,67185,66926,66796,64513,3490,2332,2314,2365,2497,2305,0
"300",50000,2,3,1,40,0,0,0,0,0,0,49941,51213,12104,12898,13687,14458,2400,1206,1000,1000,1000,1000,0
"301",20000,2,1,2,25,0,0,1,0,0,0,11968,14564,27820,15824,15761,12510,2800,0,4000,1700,1000,2000,1
"308",4e+05,2,2,1,38,0,0,0,0,0,0,3697,3600,1354,5322,5103,2077,1000,1354,5322,6,2386,9085,0
"332",20000,1,1,2,27,0,0,0,0,0,0,20571,19089,19658,19453,19108,18868,1323,1600,830,700,674,376,0
"337",120000,2,1,2,34,0,0,0,0,0,0,882,6531,6313,1100,1330,830,6900,5037,1100,1330,3800,2037,0
"343",160000,2,1,2,29,0,0,0,0,0,0,3097,0,0,2303,6182,1654,0,0,5000,5000,1500,13000,0
"348",90000,1,1,2,26,0,0,0,0,0,0,39128,20473,1940,1940,0,23101,1541,4200,0,0,23101,3000,0
"361",110000,1,1,1,40,1,0,0,0,0,0,0,0,2066,2000,216,216,0,2066,0,216,216,66,1
"363",330000,2,2,1,56,1,0,0,0,0,0,0,1520,1488,0,3965,8676,1529,1507,0,3965,8676,384,0
"368",180000,1,2,1,36,1,1,0,0,0,0,83538,0,0,0,0,0,0,0,0,0,0,0,1
"369",160000,1,1,2,30,0,0,0,0,0,0,99,2977,15086,8578,13028,21712,2977,15086,9123,13028,29712,50000,0
"379",50000,2,2,1,37,1,1,1,0,0,0,1894,3200,3381,3559,1948,2415,1500,400,200,500,500,400,1
"397",240000,1,1,2,29,0,0,0,0,0,0,156362,132280,99174,65372,28797,184922,5233,3289,2072,3018,184922,6100,0
"399",150000,1,1,2,41,0,0,0,0,0,1,1464,2084,384,0,2344,822,2091,384,0,2344,0,472,1
"409",230000,2,1,1,32,1,0,0,0,0,0,0,0,2809,4595,792,3404,0,2809,4606,792,3404,0,0
"410",230000,2,2,2,27,1,1,0,0,0,0,13668,12647,13135,10596,9218,5068,0,1064,423,313,1000,4641,1
"412",50000,2,3,1,35,0,0,0,0,0,0,22500,5000,0,0,0,0,5000,0,0,0,0,640,0
"424",170000,2,1,2,31,0,0,0,0,0,0,199,199,199,398,199,199,199,199,398,0,199,398,1
"428",390000,2,1,2,27,0,0,0,0,0,0,304867,299998,300426,292869,292885,281826,13007,10612,10041,11000,10512,7000,1
"430",580000,2,1,1,36,0,0,0,0,0,0,159760,162189,166127,169365,168755,167964,6422,6565,5951,6006,5894,5946,0
"437",50000,1,2,2,23,0,0,0,0,0,0,350,350,400,1695,12645,12584,350,400,1695,11300,485,2400,0
"457",180000,2,2,1,38,0,0,0,0,0,0,152510,151651,159019,123022,126075,126219,5657,10372,5000,5000,5000,5000,0
"484",320000,1,2,1,39,0,0,0,0,0,0,93768,91523,91579,91193,92837,95323,3317,3506,4218,5000,6080,938,0
"487",90000,2,2,2,32,0,0,0,0,0,0,573,0,0,0,0,0,157,0,0,0,0,0,0
"491",80000,2,1,1,28,0,0,0,0,0,0,8574,9434,10038,10040,10400,10490,1203,1047,248,408,294,276,1
"505",130000,1,2,1,31,0,0,0,0,0,1,1261,1261,1261,1411,930,390,1261,1261,1411,930,0,780,0
"512",50000,1,2,1,47,0,0,0,0,0,0,13917,16695,21320,18614,19003,19439,3000,5000,2000,618,679,500,0
"515",30000,2,1,1,31,0,0,0,0,0,0,16496,17522,18531,18744,19291,19818,1597,1606,819,1000,1000,1623,0
"522",620000,2,2,1,45,1,1,0,0,0,0,160837,156839,160440,163781,167159,170894,0,6200,6000,6000,6500,6000,1
"548",240000,2,1,1,42,1,0,0,0,0,0,0,6370,0,0,0,0,6370,0,0,0,0,0,0
"564",270000,2,1,1,40,0,0,0,0,0,0,18751,5706,0,0,0,0,1000,0,0,0,0,0,0
"569",80000,2,3,1,49,0,0,0,0,0,0,3367,4641,2290,1459,6764,7601,4641,2290,1459,6764,7601,7990,0
"600",50000,1,1,2,34,1,1,1,1,1,1,22746,22099,24121,23437,25101,24549,0,2700,0,2200,0,1030,0
"606",360000,2,1,2,29,0,0,0,0,0,0,3280,0,0,0,0,2650,0,0,0,0,2650,0,1
"618",360000,2,2,1,37,1,0,0,0,0,0,0,0,0,0,166,541,0,0,0,166,543,4268,0
"621",70000,1,1,1,46,0,0,0,0,0,0,60040,55274,51766,51757,50013,49946,2600,1800,2000,3140,2000,1800,0
"637",210000,2,2,2,32,0,0,0,0,0,0,46255,50486,54019,58091,61630,65576,5000,5000,5000,4500,5000,5000,0
"641",60000,1,3,1,31,1,0,0,0,0,0,35369,35320,0,0,0,0,1027,0,0,0,0,0,1
"653",80000,2,1,2,23,0,0,0,0,0,0,53261,38091,19744,14556,0,1460,4500,2011,3105,0,1460,0,0
"660",130000,2,3,1,43,0,0,0,0,0,0,130067,129385,96775,98071,97743,100124,5540,4403,3814,3562,4021,3681,0
"663",1e+05,2,3,1,35,1,1,1,1,1,1,97002,102698,97997,103384,97266,101492,8200,0,8000,0,8600,0,0
"667",1e+05,2,1,2,28,1,0,0,0,0,0,96193,82342,81967,82177,78840,79261,3600,3800,3000,3000,3023,3000,1
"671",190000,1,2,2,40,1,1,1,1,1,1,145613,156765,159386,161870,165725,169928,15000,6600,6500,6500,7000,7000,1
"677",230000,2,1,1,35,0,0,0,0,0,0,4259,5432,6182,0,0,0,1250,1000,0,0,0,0,0
"679",320000,1,1,1,40,0,0,0,0,0,0,247276,241167,238196,231580,229683,235837,10000,10000,10000,19000,13000,8000,0
"681",20000,2,3,1,41,0,0,0,0,0,0,780,0,732,642,1252,643,0,732,300,1000,500,1000,1
"682",170000,2,2,2,27,0,0,0,0,0,0,162671,166202,161973,167201,161327,171863,7500,6000,10000,7000,16000,6200,0
"684",80000,1,2,2,32,0,0,0,0,0,0,51372,51872,47593,43882,42256,42527,1853,1700,1522,1548,1488,1500,0
"685",150000,1,2,2,35,0,0,0,0,0,0,60015,72227,51364,54340,0,2129,20000,30000,54340,0,2129,0,0
"695",4e+05,2,2,2,40,0,0,0,0,0,0,0,8235,0,0,1524,0,8235,0,0,1524,0,385,0
"700",50000,1,1,2,26,0,0,0,0,0,0,15448,16392,18096,18425,18619,19060,1500,2000,1500,1200,900,1000,1
"714",80000,2,2,2,48,0,0,0,0,0,0,45174,41885,42832,23799,11723,27236,3000,3413,2000,5000,17236,2000,0
"715",30000,2,2,2,22,0,0,1,0,0,0,23892,28459,25499,25778,28708,30520,5300,0,1000,3352,2300,0,0
"718",320000,1,1,1,47,0,0,0,0,0,0,9192,13920,4022,316,8420,316,13942,4022,316,8420,316,516,0
