"","LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","default.payment.next.month"
"8",1e+05,2,2,2,23,0,0,0,0,0,0,11876,380,601,221,0,567,380,601,0,581,1687,1542,0
"12",260000,2,1,2,51,0,0,0,0,0,1,12261,21670,9966,8517,22287,13668,21818,9966,8583,22301,0,3640,0
"16",50000,2,3,3,23,1,1,0,0,0,0,50614,29173,28116,28771,29531,30211,0,1500,1100,1200,1300,1100,0
"18",320000,1,1,1,49,0,0,0,0,0,0,253286,246536,194663,70074,5856,195599,10358,10000,75940,20000,195599,50000,0
"23",70000,2,2,2,26,1,0,0,1,1,1,41087,42445,45020,44006,46905,46012,2007,3582,0,3601,0,1820,1
"26",50000,1,3,2,23,0,0,0,0,0,0,47620,41810,36023,28967,29829,30046,1973,1426,1001,1432,1062,997,0
"36",160000,1,1,2,30,0,0,0,0,0,0,30265,0,0,0,0,0,131,396,396,565,792,0,0
"46",210000,1,1,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"48",380000,1,2,2,32,0,0,0,0,0,0,22401,21540,15134,32018,11849,11873,21540,15138,24677,11851,11875,8251,0
"51",1e+05,2,3,3,43,0,0,0,0,0,0,61559,51163,43824,39619,35762,33258,2000,1606,1500,2000,1500,1000,0
"53",180000,2,1,2,25,1,1,0,0,0,0,41402,41742,42758,43510,44420,45319,1300,2010,1762,1762,1790,1622,0
"65",2e+05,1,1,1,57,0,0,0,0,1,1,152519,148751,144076,8174,8198,7918,0,0,8222,300,0,1000,1
"67",210000,2,1,2,30,1,0,0,0,0,0,300,300,1159,2280,300,4250,300,1159,2280,300,4250,909,0
"68",130000,2,3,2,29,1,0,0,0,1,0,0,0,0,10311,10161,7319,0,0,20161,0,7319,13899,0
"73",340000,1,1,2,32,0,0,0,0,0,0,3048,5550,23337,4291,80153,25820,5713,23453,4314,80552,25949,2016,0
"81",60000,1,3,2,30,0,0,0,0,0,0,26324,27471,28108,21993,19899,19771,1576,1213,648,768,1140,0,1
"82",4e+05,2,2,1,44,0,0,1,0,0,0,131595,139060,126819,104430,104990,94058,10700,3,3050,3000,3200,2800,0
"84",160000,1,2,2,33,0,0,0,0,0,0,130028,107808,71934,118418,118407,120418,4400,3547,80000,4500,4800,4500,0
"86",160000,2,2,2,32,0,0,0,0,0,0,3826,4751,6604,8604,7072,766,1147,2000,2000,0,766,2303,0
"92",160000,2,2,1,37,0,0,0,0,0,0,880,1602,840,840,0,0,1602,840,840,0,0,7736,0
"96",150000,1,1,2,27,0,0,0,0,0,0,86009,86108,89006,89775,87725,40788,4031,10006,3266,4040,1698,800,0
"97",50000,2,3,1,22,0,0,0,0,0,0,18722,18160,16997,13150,8866,7899,1411,1194,379,281,321,197,0
"100",380000,2,1,2,30,0,0,0,0,0,0,0,0,32475,32891,33564,34056,223,33178,1171,1197,1250,5000,0
"105",80000,2,2,1,36,0,0,0,0,0,0,6108,2861,3277,3319,1150,1150,2861,3279,3319,1150,1150,1035,0
"110",50000,1,3,1,47,0,0,1,0,0,0,13244,14722,15181,15928,16671,17393,2000,1000,1000,1000,1000,1000,0
"115",240000,1,1,2,28,0,0,0,0,0,0,326,326,326,5676,476,326,326,326,5676,476,326,526,0
"116",80000,1,2,2,26,1,0,0,0,0,0,14029,15493,16630,17055,17629,18186,2000,1700,1000,1000,1000,1000,1
"118",240000,2,2,2,38,0,0,0,0,0,0,50254,51445,53015,52479,1307,1203,2000,3000,3000,1307,1203,563,0
"121",110000,2,1,1,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",2e+05,1,3,2,52,0,0,0,0,0,0,110151,99530,98951,100914,103146,104993,3568,3585,3602,3848,3669,3784,0
"135",150000,1,1,2,27,0,0,0,0,0,0,17444,19342,22000,24614,27200,30229,2500,3000,3000,3000,3500,5000,0
"136",210000,2,2,1,33,0,0,0,0,0,0,7166,7997,8792,9189,4404,5708,1500,1500,1000,500,2000,546,0
"145",170000,2,2,2,27,0,0,0,0,0,0,19269,20313,20852,17560,17918,9100,1661,1200,351,358,182,0,1
"152",280000,2,2,1,56,0,0,0,0,0,0,208775,182350,132257,101783,177145,169311,8042,6700,5137,1e+05,7000,6321,0
"160",50000,1,2,2,27,1,0,0,0,0,1,390,390,780,216,1080,540,390,780,216,864,0,390,0
"162",250000,2,1,1,34,0,0,1,0,0,0,141223,156858,151841,152803,155997,160220,17994,0,5469,5656,6811,3920,0
"172",50000,2,1,2,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"177",20000,2,2,2,22,0,0,0,0,0,0,16001,12622,13221,13130,14034,14906,1212,1201,500,1500,1500,1000,0
"180",80000,2,3,2,35,0,0,0,0,0,0,49608,12412,14873,17364,17770,17460,12500,6500,3000,2000,3000,2000,0
"192",180000,2,1,2,24,0,0,1,0,0,0,14670,22087,21282,10200,0,0,37867,0,200,0,0,0,0
"199",180000,2,1,1,38,0,0,0,0,0,0,750,0,0,0,0,0,0,0,0,0,0,0,0
"206",210000,2,2,1,41,0,0,0,0,0,0,3088,1586,343,3763,877,0,1586,343,3763,877,0,419,1
"212",30000,1,2,2,39,0,0,0,1,0,0,28347,28108,18388,12992,7736,8032,3036,2309,0,1000,2000,148,0
