,x,p
1,0.159845238,0.137816006
2,0.146873683,0.128064394
3,0.736449615,0.424112286
4,0.11991615,0.107076007
5,1.149571876,0.534791085
6,0.175967785,0.14963657
7,0.167332293,0.143345896
8,0.156248663,0.135134135
9,0.088956275,0.081689483
10,0.189696139,0.159449234
11,0.537010837,0.3493865
12,0.349347156,0.258900872
13,0.478571679,0.323671612
14,0.601296772,0.375506142
15,0.097097539,0.088504017
16,0.180472477,0.152881563
17,0.179242164,0.151997757
18,0.132803611,0.117234453
19,0.149985721,0.130423985
20,0.180660944,0.153016787
21,0.149112093,0.129762878
22,0.184123774,0.155493689
23,0.084994752,0.078336556
24,0.194496368,0.16282709
25,0.332674728,0.249629352
26,0.146180004,0.12753669
27,0.637361326,0.389261256
28,0.135619115,0.119423065
29,0.711482257,0.41571115
30,0.157090185,0.13576313
31,0.159209897,0.137343459
32,0.165268366,0.141828587
33,0.145543369,0.127051819
34,0.136461605,0.12007586
35,0.938957255,0.484258873
36,0.19254444,0.161456826
37,0.591239879,0.371559239
38,0.175467341,0.149274535
39,0.139530599,0.12244568
40,0.150518827,0.130826913
41,0.176850676,0.150274524
42,0.171539647,0.1464224
43,0.247200656,0.198204399
44,0.098646329,0.089788976
45,0.125461499,0.111475603
46,0.203728832,0.169248112
47,0.196568097,0.164276565
48,0.144337499,0.126131932
49,0.164558936,0.141305804
50,0.234773465,0.190134848
51,0.516796846,0.340715929
52,0.538862596,0.350169402
53,0.599653312,0.374864546
54,10.09451217,0.909865347
55,0.608192154,0.378183759
56,0.153636639,0.133175936
57,0.144557507,0.126299907
58,0.317729237,0.241118758
59,0.581254651,0.367590793
60,0.0892641,0.081948997
61,0.189000259,0.15895729
62,0.157337839,0.135948064
63,0.110483627,0.09949145
64,0.129702139,0.114810917
65,0.434919786,0.303096933
66,0.058386722,0.055165774
67,4.412405111,0.815239255
68,0.394242538,0.282764675
69,0.249175166,0.199471758
70,0.547337806,0.35372871
71,0.153876514,0.133356137
72,0.254198004,0.20267773
73,1.539541401,0.606228117
74,0.199704192,0.166461194
75,1.848530761,0.648941829
76,0.239810854,0.193425354
77,0.910838474,0.476669528
78,0.086165931,0.079330357
79,1.060921637,0.514780192
80,0.152368585,0.132222092
81,0.190438186,0.159973183
82,0.150085232,0.130499225
83,0.073607764,0.068561132
84,0.379889194,0.27530413
85,0.206240032,0.170977605
86,1.887895136,0.653727039
87,0.136063358,0.119767403
88,0.062578152,0.058892752
89,0.192201933,0.161215921
90,0.159901392,0.137857746
91,2.442692782,0.709529702
92,1.862543352,0.650660313
93,0.144653849,0.126373444
94,0.178177655,0.151231569
95,0.008833813,0.00875646
96,0.131774076,0.116431431
97,0.24295191,0.195463644
98,0.177980515,0.151089524
99,0.132671929,0.117131824
100,0.181928798,0.153925345
101,0.149078661,0.129737559
102,0.109310187,0.098538883
103,0.101475403,0.092126799
104,0.072445764,0.067551914
105,0.204802823,0.169988665
106,0.111550091,0.100355433
107,0.116315727,0.104196084
108,0.154624496,0.13391756
109,0.428515765,0.299972724
110,0.165540413,0.142028891
111,0.120548731,0.107580088
112,0.109137945,0.098398892
113,0.223873181,0.182921878
114,0.708049965,0.414537033
115,0.15959019,0.137626372
116,0.167825705,0.143707836
117,0.109656977,0.098820608
118,0.54411085,0.352378101
119,0.256088223,0.203877576
120,1.17056785,0.539291066
121,0.158067827,0.13649272
122,0.195320771,0.163404482
123,0.095495435,0.087171002
124,0.548054586,0.354027947
125,0.15797827,0.136425937
